,unfreeze_top_num_layers,dropout_rate,learning_rate,training_loss,validation_loss,training_accuracy,validation_accuracy,best_epoch,best_val_accuracy,test_loss,test_acc
0,0,0.0,0.001,"[0.4369688034057617, 0.21388471126556396, 0.10817841440439224, 0.11623872071504593, 0.06059601157903671, 0.060968685895204544, 0.03946453332901001, 0.06970174610614777, 0.09543044865131378, 0.048556990921497345]","[0.6992150545120239, 1.5167315006256104, 1.803777813911438, 1.480272889137268, 2.0897111892700195, 1.7593309879302979, 2.0936031341552734, 1.1895984411239624, 0.9286015629768372, 0.8016631007194519]","[0.8129251599311829, 0.9047619104385376, 0.9659863710403442, 0.9523809552192688, 0.9829931855201721, 0.9795918464660645, 0.9829931855201721, 0.9659863710403442, 0.9693877696990967, 0.9795918464660645]","[0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8214285969734192, 0.8095238208770752, 0.8809523582458496, 0.9047619104385376, 0.8690476417541504]",8,0.9047619104385376,0.5914327502250671,0.9285714030265808
1,10,0.0,0.001,"[0.17441506683826447, 0.06992899626493454, 0.03133084252476692, 0.013295389711856842, 0.020455239340662956, 0.10845527797937393, 0.05836350470781326, 0.043740224093198776, 0.05122411251068115, 0.01738036796450615]","[0.5846322178840637, 0.6985499262809753, 0.9143293499946594, 0.9618517756462097, 0.7007764577865601, 2.6653547286987305, 0.8505010008811951, 0.9366073608398438, 0.8687083721160889, 1.3030508756637573]","[0.9115646481513977, 0.976190447807312, 0.9931972622871399, 1.0, 0.9931972622871399, 0.9727891087532043, 0.9795918464660645, 0.9863945841789246, 0.9829931855201721, 0.9965986609458923]","[0.8928571343421936, 0.8928571343421936, 0.8690476417541504, 0.9047619104385376, 0.9166666865348816, 0.5833333134651184, 0.7976190447807312, 0.738095223903656, 0.8333333134651184, 0.8809523582458496]",4,0.9166666865348816,0.7786332368850708,0.9285714030265808
2,20,0.0,0.001,"[0.17011377215385437, 0.013619787991046906, 0.06022482365369797, 0.09554525464773178, 0.025854431092739105, 0.007790952455252409, 0.0035528414882719517, 0.0031719121616333723, 0.004159537144005299, 0.003519021440297365]","[0.8815039396286011, 0.9870785474777222, 0.8774283528327942, 0.4373469650745392, 0.5168508291244507, 0.7438406944274902, 0.7672786712646484, 0.7808629274368286, 0.5626648664474487, 0.6386479139328003]","[0.884353756904602, 0.9965986609458923, 0.9863945841789246, 0.976190447807312, 0.9897959232330322, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8690476417541504, 0.8809523582458496, 0.726190447807312, 0.8690476417541504, 0.9166666865348816, 0.9047619104385376, 0.8928571343421936, 0.8690476417541504, 0.9047619104385376, 0.9285714030265808]",9,0.9285714030265808,0.5192353129386902,0.9047619104385376
3,40,0.0,0.001,"[0.09687774628400803, 0.05402330309152603, 0.007882843725383282, 0.025178546085953712, 0.014063147827982903, 0.005938900168985128, 0.0018404131988063455, 0.015405124984681606, 0.03416631370782852, 0.048010990023612976]","[0.344353049993515, 0.5332289338111877, 0.3610038161277771, 0.8127447962760925, 0.8577361106872559, 0.699035108089447, 0.5721269845962524, 0.3829866647720337, 0.7469383478164673, 0.890641450881958]","[0.9829931855201721, 0.9863945841789246, 1.0, 0.9863945841789246, 0.9931972622871399, 1.0, 1.0, 0.9965986609458923, 0.9931972622871399, 0.9795918464660645]","[0.9166666865348816, 0.8809523582458496, 0.9523809552192688, 0.8690476417541504, 0.8690476417541504, 0.8690476417541504, 0.8690476417541504, 0.9047619104385376, 0.9166666865348816, 0.9047619104385376]",2,0.9523809552192688,1.0797618627548218,0.9047619104385376
4,0,0.0,0.01,"[0.5725131034851074, 0.5092678070068359, 0.3392872214317322, 0.30730780959129333, 0.4145188331604004, 0.37561532855033875, 0.4382055401802063, 0.39258041977882385, 0.3670794665813446, 0.3157117962837219]","[84182.1875, 142981.171875, 683969.1875, 400031.65625, 9476.001953125, 4888.6259765625, 9153.857421875, 128795.3203125, 17674.9921875, 2045.7940673828125]","[0.7789115905761719, 0.8299319744110107, 0.8605442047119141, 0.8775510191917419, 0.8231292366981506, 0.8503401279449463, 0.8367347121238708, 0.8231292366981506, 0.8299319744110107, 0.8741496801376343]","[0.190476194024086, 0.8095238208770752, 0.190476194024086, 0.190476194024086, 0.190476194024086, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",1,0.8095238208770752,1363.815185546875,0.8809523582458496
5,10,0.0,0.01,"[0.4358006715774536, 0.37271538376808167, 0.4452444016933441, 0.3166569173336029, 0.26096153259277344, 0.2689889073371887, 0.3262675404548645, 0.3494851291179657, 0.33390751481056213, 0.31274768710136414]","[591778.125, 309189.25, 306959.15625, 11692.3818359375, 1634.4698486328125, 4201.7626953125, 55304.1796875, 23784.96484375, 5699.31494140625, 7354.82373046875]","[0.7687074542045593, 0.8469387888908386, 0.8401360511779785, 0.8707482814788818, 0.9047619104385376, 0.9081632494926453, 0.8741496801376343, 0.8469387888908386, 0.8095238208770752, 0.8605442047119141]","[0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",0,0.8095238208770752,4915.3154296875,0.8809523582458496
6,20,0.0,0.01,"[0.42466726899147034, 0.34127211570739746, 0.7775245904922485, 0.3358730971813202, 0.2581771910190582, 0.19842760264873505, 0.15095645189285278, 0.19114652276039124, 0.15249986946582794, 0.24180376529693604]","[10.510296821594238, 4446.4443359375, 9933.107421875, 96.57721710205078, 22.602041244506836, 18.583860397338867, 9.540929794311523, 1.6592077016830444, 8.618812561035156, 0.6192108988761902]","[0.8027210831642151, 0.8673469424247742, 0.8639456033706665, 0.8605442047119141, 0.8911564350128174, 0.9285714030265808, 0.9285714030265808, 0.9319728016853333, 0.9489796161651611, 0.918367326259613]","[0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.190476194024086, 0.190476194024086, 0.190476194024086, 0.2142857164144516, 0.190476194024086, 0.7857142686843872]",0,0.8095238208770752,0.5968250632286072,0.761904776096344
7,40,0.0,0.01,"[0.35896036028862, 0.10872140526771545, 0.20024992525577545, 0.20006678998470306, 0.09155924618244171, 0.08464519679546356, 0.11090490221977234, 0.06595832854509354, 0.05007055401802063, 0.015631232410669327]","[0.6290961503982544, 1.686215877532959, 8.676673889160156, 0.5184348225593567, 0.38064974546432495, 3.097238540649414, 2.681975841522217, 1.887082576751709, 1.9935139417648315, 2.729914665222168]","[0.9013605713844299, 0.9625850319862366, 0.9319728016853333, 0.9319728016853333, 0.9727891087532043, 0.976190447807312, 0.9659863710403442, 0.976190447807312, 0.976190447807312, 1.0]","[0.8214285969734192, 0.3095238208770752, 0.2142857164144516, 0.8214285969734192, 0.8690476417541504, 0.4285714328289032, 0.6666666865348816, 0.4404761791229248, 0.5595238208770752, 0.5714285969734192]",4,0.8690476417541504,3.7997195720672607,0.380952388048172
8,0,0.0,0.05,"[1.4017598628997803, 0.6806164979934692, 0.5320669412612915, 0.6969810128211975, 1.0279468297958374, 0.5877459049224854, 0.4890955686569214, 0.46333587169647217, 0.46253111958503723, 0.522862434387207]","[1355439.625, 351279776.0, 5662910464.0, 777574528.0, 17459706.0, 107737.3125, 11801.41015625, 5485.7822265625, 120476.6171875, 998.1793823242188]","[0.7755101919174194, 0.7653061151504517, 0.8265306353569031, 0.7585033774375916, 0.7142857313156128, 0.795918345451355, 0.7993197441101074, 0.819727897644043, 0.8231292366981506, 0.8095238208770752]","[0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.761904776096344]",0,0.8095238208770752,890.4306030273438,0.7857142686843872
9,10,0.0,0.05,"[0.9702507853507996, 0.6609910130500793, 0.5165222883224487, 0.5377643704414368, 0.4940730035305023, 0.45475083589553833, 0.45563772320747375, 0.4796668291091919, 0.4215735197067261, 0.4134371280670166]","[1263362.125, 252360.046875, 663.5550537109375, 259.92852783203125, 6.477257251739502, 129.33642578125, 6.738094329833984, 50.949249267578125, 32.528724670410156, 43.28142547607422]","[0.738095223903656, 0.8129251599311829, 0.8265306353569031, 0.8265306353569031, 0.8265306353569031, 0.819727897644043, 0.8061224222183228, 0.8231292366981506, 0.8503401279449463, 0.8299319744110107]","[0.190476194024086, 0.8095238208770752, 0.5952380895614624, 0.8095238208770752, 0.726190447807312, 0.190476194024086, 0.761904776096344, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",1,0.8095238208770752,29.125505447387695,0.8809523582458496
10,20,0.0,0.05,"[0.8325022459030151, 0.48651060461997986, 0.42415934801101685, 0.3720938563346863, 0.402940958738327, 0.3901110291481018, 0.5653507709503174, 0.485556036233902, 0.39146894216537476, 0.3818386495113373]","[33.1180534362793, 1012.03759765625, 53.037132263183594, 4.868081092834473, 2.7183725833892822, 1.464593529701233, 5.1058349609375, 34.12782669067383, 7.195764541625977, 3.143980026245117]","[0.6904761791229248, 0.8061224222183228, 0.795918345451355, 0.8401360511779785, 0.8469387888908386, 0.819727897644043, 0.7823129296302795, 0.795918345451355, 0.8163265585899353, 0.8333333134651184]","[0.738095223903656, 0.190476194024086, 0.6428571343421936, 0.3928571343421936, 0.5357142686843872, 0.6666666865348816, 0.3333333432674408, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",7,0.8095238208770752,1.8031622171401978,0.8809523582458496
11,40,0.0,0.05,"[0.42924973368644714, 0.3842236399650574, 0.36951977014541626, 0.33424603939056396, 0.3095555603504181, 0.46553683280944824, 0.3754979968070984, 0.30879834294319153, 0.23738116025924683, 0.34819507598876953]","[1.5700269937515259, 3.037917375564575, 4.162125587463379, 3.379537582397461, 0.9831866025924683, 8.688667297363281, 6.913707733154297, 8.20512580871582, 6.900862693786621, 2.101544141769409]","[0.795918345451355, 0.8503401279449463, 0.8367347121238708, 0.8673469424247742, 0.8673469424247742, 0.8231292366981506, 0.8639456033706665, 0.8911564350128174, 0.8911564350128174, 0.853741466999054]","[0.6904761791229248, 0.7857142686843872, 0.7976190447807312, 0.8095238208770752, 0.773809552192688, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752, 0.8095238208770752]",3,0.8095238208770752,1.2333581447601318,0.8809523582458496
12,0,0.2,0.001,"[0.5713488459587097, 0.42785120010375977, 0.3492285907268524, 0.2966494858264923, 0.2685571610927582, 0.2594842314720154, 0.24253639578819275, 0.258404016494751, 0.23413491249084473, 0.21673272550106049]","[0.41797611117362976, 0.3243078589439392, 0.29587215185165405, 0.2862262427806854, 0.2830127477645874, 0.2786625325679779, 0.2764713168144226, 0.27503207325935364, 0.27086693048477173, 0.2591007947921753]","[0.8605442047119141, 0.8877550959587097, 0.8741496801376343, 0.8877550959587097, 0.8945578336715698, 0.884353756904602, 0.9081632494926453, 0.9047619104385376, 0.9013605713844299, 0.9251700639724731]","[0.8809523582458496, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376]",1,0.9047619104385376,0.25017744302749634,0.8809523582458496
13,10,0.2,0.001,"[0.6133294105529785, 0.42299923300743103, 0.3236931562423706, 0.2816491425037384, 0.26213881373405457, 0.23407185077667236, 0.22581499814987183, 0.21504171192646027, 0.2194628268480301, 0.21691502630710602]","[0.40601611137390137, 0.2973767817020416, 0.26069071888923645, 0.24881376326084137, 0.24407240748405457, 0.24219387769699097, 0.23932316899299622, 0.23677018284797668, 0.238063246011734, 0.24159665405750275]","[0.7176870703697205, 0.918367326259613, 0.918367326259613, 0.9013605713844299, 0.918367326259613, 0.918367326259613, 0.918367326259613, 0.9251700639724731, 0.9353741407394409, 0.9285714030265808]","[0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9047619104385376, 0.9166666865348816, 0.9166666865348816, 0.8928571343421936]",7,0.9166666865348816,0.2220701277256012,0.9285714030265808
14,20,0.2,0.001,"[0.5580003261566162, 0.3590824007987976, 0.26234957575798035, 0.23574024438858032, 0.20897036790847778, 0.2132653445005417, 0.179502934217453, 0.17065741121768951, 0.18456198275089264, 0.20179720222949982]","[0.4269620478153229, 0.31258273124694824, 0.27437305450439453, 0.25650525093078613, 0.2485283613204956, 0.24526943266391754, 0.24097338318824768, 0.24054840207099915, 0.24102751910686493, 0.24293506145477295]","[0.8333333134651184, 0.9047619104385376, 0.9319728016853333, 0.9115646481513977, 0.9285714030265808, 0.9149659872055054, 0.942176878452301, 0.942176878452301, 0.9285714030265808, 0.9353741407394409]","[0.8809523582458496, 0.8928571343421936, 0.8928571343421936, 0.8928571343421936, 0.8928571343421936, 0.8928571343421936, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.9047619104385376]",8,0.9047619104385376,0.23691141605377197,0.8809523582458496
15,40,0.2,0.001,"[0.5743473768234253, 0.34200358390808105, 0.24592304229736328, 0.2132420390844345, 0.20106786489486694, 0.19035758078098297, 0.18113502860069275, 0.17728157341480255, 0.16291597485542297, 0.16109967231750488]","[0.431861937046051, 0.31634998321533203, 0.273364394903183, 0.25372880697250366, 0.2460765540599823, 0.24432408809661865, 0.24302434921264648, 0.24363912642002106, 0.25148817896842957, 0.25484099984169006]","[0.7585033774375916, 0.9217687249183655, 0.9285714030265808, 0.9285714030265808, 0.9455782175064087, 0.9251700639724731, 0.9319728016853333, 0.9387755393981934, 0.9353741407394409, 0.9353741407394409]","[0.8928571343421936, 0.8809523582458496, 0.8809523582458496, 0.9047619104385376, 0.8928571343421936, 0.8809523582458496, 0.8809523582458496, 0.8928571343421936, 0.8928571343421936, 0.8809523582458496]",3,0.9047619104385376,0.22882018983364105,0.8809523582458496
16,0,0.2,0.01,"[0.255832314491272, 0.22760562598705292, 0.16696321964263916, 0.15008343756198883, 0.13088370859622955, 0.12372209131717682, 0.130575492978096, 0.1284906566143036, 0.08080870658159256, 0.0817614272236824]","[0.2599315047264099, 0.33854711055755615, 0.3249043822288513, 0.47630536556243896, 0.525236964225769, 0.4699181914329529, 0.6146589517593384, 0.5288006663322449, 0.5667420029640198, 0.5341845750808716]","[0.8469387888908386, 0.9319728016853333, 0.9285714030265808, 0.9353741407394409, 0.9591836929321289, 0.9591836929321289, 0.9455782175064087, 0.9455782175064087, 0.9659863710403442, 0.976190447807312]","[0.8690476417541504, 0.8928571343421936, 0.8809523582458496, 0.8928571343421936, 0.8809523582458496, 0.9047619104385376, 0.8571428656578064, 0.8571428656578064, 0.8809523582458496, 0.9047619104385376]",5,0.9047619104385376,0.39292657375335693,0.9047619104385376
17,10,0.2,0.01,"[0.21770785748958588, 0.07377620041370392, 0.09074264019727707, 0.1250876933336258, 0.12195353955030441, 0.06041935458779335, 0.044517822563648224, 0.042755093425512314, 0.03937206417322159, 0.029575873166322708]","[0.5073026418685913, 0.4769713580608368, 1.0919359922409058, 0.6447919607162476, 0.4916590750217438, 0.43882301449775696, 0.7140992283821106, 0.538544774055481, 0.3322092592716217, 0.39878591895103455]","[0.9047619104385376, 0.9557822942733765, 0.9659863710403442, 0.9455782175064087, 0.9693877696990967, 0.9795918464660645, 0.9795918464660645, 0.9897959232330322, 0.9863945841789246, 0.9863945841789246]","[0.9285714030265808, 0.8571428656578064, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.8690476417541504, 0.738095223903656, 0.8095238208770752, 0.8928571343421936, 0.8809523582458496]",0,0.9285714030265808,0.5505281686782837,0.8571428656578064
18,20,0.2,0.01,"[0.1753065139055252, 0.03557269647717476, 0.10870424658060074, 0.05319518223404884, 0.025577399879693985, 0.04220971465110779, 0.03426896035671234, 0.03222836181521416, 0.05295025557279587, 0.15746861696243286]","[0.3269857168197632, 0.6726021766662598, 0.5161383748054504, 0.40964457392692566, 0.5866571068763733, 0.5187023282051086, 0.6581236124038696, 0.5717934370040894, 0.6199002265930176, 0.4983308017253876]","[0.9319728016853333, 0.9863945841789246, 0.976190447807312, 0.9795918464660645, 0.9965986609458923, 0.9897959232330322, 0.9931972622871399, 0.9931972622871399, 0.9829931855201721, 0.9523809552192688]","[0.8928571343421936, 0.8571428656578064, 0.8809523582458496, 0.8690476417541504, 0.8928571343421936, 0.8928571343421936, 0.9047619104385376, 0.8690476417541504, 0.8452380895614624, 0.761904776096344]",6,0.9047619104385376,0.5523654818534851,0.8095238208770752
